Data is Provisional and subject to change. Data presented is reported as of 12/4/2021
reportDate,zip,confirmed_cases,total_tested
12/3/2021 12:00:00 AM,60000,40,467
12/3/2021 12:00:00 AM,60001,7,333
12/3/2021 12:00:00 AM,60002,2911,38279
12/3/2021 12:00:00 AM,60004,5492,134329
12/3/2021 12:00:00 AM,60005,3618,79459
12/3/2021 12:00:00 AM,60006,20,549
12/3/2021 12:00:00 AM,60007,4017,73529
12/3/2021 12:00:00 AM,60008,3398,61404
12/3/2021 12:00:00 AM,60009,24,498
12/3/2021 12:00:00 AM,60010,4599,118023
12/3/2021 12:00:00 AM,60011,13,414
12/3/2021 12:00:00 AM,60012,1368,29635
12/3/2021 12:00:00 AM,60013,2860,47429
12/3/2021 12:00:00 AM,60014,6200,100856
12/3/2021 12:00:00 AM,60015,2593,184438
12/3/2021 12:00:00 AM,60016,8425,167319
12/3/2021 12:00:00 AM,60017,18,431
12/3/2021 12:00:00 AM,60018,4457,88139
12/3/2021 12:00:00 AM,60019,12,308
12/3/2021 12:00:00 AM,60020,1296,20512
12/3/2021 12:00:00 AM,60021,587,10136
12/3/2021 12:00:00 AM,60022,681,30030
12/3/2021 12:00:00 AM,60025,4495,134252
12/3/2021 12:00:00 AM,60026,1397,54965
12/3/2021 12:00:00 AM,60029,60,1604
12/3/2021 12:00:00 AM,60030,3918,93998
12/3/2021 12:00:00 AM,60031,4484,102261
12/3/2021 12:00:00 AM,60033,2031,26665
12/3/2021 12:00:00 AM,60034,246,3861
12/3/2021 12:00:00 AM,60035,2506,116572
12/3/2021 12:00:00 AM,60036,9,132
12/3/2021 12:00:00 AM,60038,10,474
12/3/2021 12:00:00 AM,60039,9,400
12/3/2021 12:00:00 AM,60040,757,19324
12/3/2021 12:00:00 AM,60041,1189,18214
12/3/2021 12:00:00 AM,60042,992,13875
12/3/2021 12:00:00 AM,60043,255,6300
12/3/2021 12:00:00 AM,60044,1066,35856
12/3/2021 12:00:00 AM,60045,1945,74927
12/3/2021 12:00:00 AM,60046,4247,72710
12/3/2021 12:00:00 AM,60047,4522,103002
12/3/2021 12:00:00 AM,60048,2863,84375
12/3/2021 12:00:00 AM,60050,4427,70532
12/3/2021 12:00:00 AM,60051,3228,41167
12/3/2021 12:00:00 AM,60053,3016,83054
12/3/2021 12:00:00 AM,60055,15,206
12/3/2021 12:00:00 AM,60056,6707,130949
12/3/2021 12:00:00 AM,60057,8,212
12/3/2021 12:00:00 AM,60060,4701,78649
12/3/2021 12:00:00 AM,60061,2494,70223
12/3/2021 12:00:00 AM,60062,4373,182069
12/3/2021 12:00:00 AM,60063,10,194
12/3/2021 12:00:00 AM,60064,3558,32410
12/3/2021 12:00:00 AM,60065,15,423
12/3/2021 12:00:00 AM,60067,4602,108268
12/3/2021 12:00:00 AM,60068,4883,120298
12/3/2021 12:00:00 AM,60069,842,40607
12/3/2021 12:00:00 AM,60070,1923,45261
12/3/2021 12:00:00 AM,60071,467,6111
12/3/2021 12:00:00 AM,60072,113,1747
12/3/2021 12:00:00 AM,60073,9325,127345
12/3/2021 12:00:00 AM,60074,4673,76420
12/3/2021 12:00:00 AM,60075,20,351
12/3/2021 12:00:00 AM,60076,4237,124176
12/3/2021 12:00:00 AM,60077,3421,111177
12/3/2021 12:00:00 AM,60078,18,405
12/3/2021 12:00:00 AM,60079,58,3826
12/3/2021 12:00:00 AM,60081,1241,14683
12/3/2021 12:00:00 AM,60082,18,638
12/3/2021 12:00:00 AM,60083,1209,21646
12/3/2021 12:00:00 AM,60084,2008,34865
12/3/2021 12:00:00 AM,60085,11727,169154
12/3/2021 12:00:00 AM,60086,16,317
12/3/2021 12:00:00 AM,60087,4539,51868
12/3/2021 12:00:00 AM,60088,902,12041
12/3/2021 12:00:00 AM,60089,3898,112388
12/3/2021 12:00:00 AM,60090,5179,133313
12/3/2021 12:00:00 AM,60091,2409,71147
12/3/2021 12:00:00 AM,60093,2139,54118
12/3/2021 12:00:00 AM,60094,7,246
12/3/2021 12:00:00 AM,60095,9,142
12/3/2021 12:00:00 AM,60096,853,10433
12/3/2021 12:00:00 AM,60097,1372,19579
12/3/2021 12:00:00 AM,60098,4585,77777
12/3/2021 12:00:00 AM,60099,4848,81157
12/3/2021 12:00:00 AM,60101,6333,82679
12/3/2021 12:00:00 AM,60102,3905,58981
12/3/2021 12:00:00 AM,60103,5775,107410
12/3/2021 12:00:00 AM,60104,3101,48339
12/3/2021 12:00:00 AM,60105,14,407
12/3/2021 12:00:00 AM,60106,2988,47902
12/3/2021 12:00:00 AM,60107,5721,94566
12/3/2021 12:00:00 AM,60108,3486,68148
12/3/2021 12:00:00 AM,60109,88,1469
12/3/2021 12:00:00 AM,60110,5844,72494
12/3/2021 12:00:00 AM,60111,28,475
12/3/2021 12:00:00 AM,60112,659,8985
12/3/2021 12:00:00 AM,60113,54,842
12/3/2021 12:00:00 AM,60115,5714,126299
12/3/2021 12:00:00 AM,60116,14,824
12/3/2021 12:00:00 AM,60118,1893,27933
12/3/2021 12:00:00 AM,60119,1399,20800
12/3/2021 12:00:00 AM,60120,7939,99325
12/3/2021 12:00:00 AM,60121,34,761
12/3/2021 12:00:00 AM,60123,7106,112893
12/3/2021 12:00:00 AM,60124,3259,47854
12/3/2021 12:00:00 AM,60125,9,293
12/3/2021 12:00:00 AM,60126,6244,122307
12/3/2021 12:00:00 AM,60129,32,396
12/3/2021 12:00:00 AM,60130,1608,51707
12/3/2021 12:00:00 AM,60131,3177,44995
12/3/2021 12:00:00 AM,60132,7,318
12/3/2021 12:00:00 AM,60133,5926,91362
12/3/2021 12:00:00 AM,60134,3544,60327
12/3/2021 12:00:00 AM,60135,1113,12495
12/3/2021 12:00:00 AM,60136,1202,16668
12/3/2021 12:00:00 AM,60137,4602,89895
12/3/2021 12:00:00 AM,60138,18,354
12/3/2021 12:00:00 AM,60139,5070,70964
12/3/2021 12:00:00 AM,60140,3069,41457
12/3/2021 12:00:00 AM,60141,87,5781
12/3/2021 12:00:00 AM,60142,3451,65597
12/3/2021 12:00:00 AM,60143,1659,28354
12/3/2021 12:00:00 AM,60144,16,375
12/3/2021 12:00:00 AM,60145,314,3632
12/3/2021 12:00:00 AM,60146,379,4817
12/3/2021 12:00:00 AM,60147,24,376
12/3/2021 12:00:00 AM,60148,6670,134826
12/3/2021 12:00:00 AM,60150,184,2827
12/3/2021 12:00:00 AM,60151,486,7709
12/3/2021 12:00:00 AM,60152,1677,22256
12/3/2021 12:00:00 AM,60153,3385,47645
12/3/2021 12:00:00 AM,60154,2171,43658
12/3/2021 12:00:00 AM,60155,1112,16956
12/3/2021 12:00:00 AM,60156,3625,56985
12/3/2021 12:00:00 AM,60157,341,5137
