Data is Provisional and subject to change. Data presented is reported as of 12/4/2021
testDate,total_tested,confirmed_cases,deaths,tested_change,cases_change,deaths_change,tested_7_day_rolling_avg,cases_7_day_rolling_avg,deaths_7_day_rolling_avg
3/10/2020 12:00:00 AM,326,20,0,326,20,0,47.000000,3.000000,0.000000
3/11/2020 12:00:00 AM,367,25,0,41,5,0,52.000000,4.000000,0.000000
3/12/2020 12:00:00 AM,418,32,0,51,7,0,60.000000,5.000000,0.000000
3/13/2020 12:00:00 AM,444,46,0,26,14,0,63.000000,7.000000,0.000000
3/14/2020 12:00:00 AM,708,64,0,264,18,0,101.000000,9.000000,0.000000
3/15/2020 12:00:00 AM,932,93,0,224,29,0,133.000000,13.000000,0.000000
3/16/2020 12:00:00 AM,1143,105,0,211,12,0,163.000000,15.000000,0.000000
3/17/2020 12:00:00 AM,1500,160,1,357,55,1,168.000000,20.000000,0.000000
3/18/2020 12:00:00 AM,2052,288,3,552,128,2,241.000000,38.000000,0.000000
3/19/2020 12:00:00 AM,3151,422,4,1099,134,1,390.000000,56.000000,1.000000
3/20/2020 12:00:00 AM,4286,585,5,1135,163,1,549.000000,77.000000,1.000000
3/21/2020 12:00:00 AM,6247,753,6,1961,168,1,791.000000,98.000000,1.000000
3/22/2020 12:00:00 AM,8374,1046,9,2127,293,3,1063.000000,136.000000,1.000000
3/23/2020 12:00:00 AM,9868,1283,12,1494,237,3,1246.000000,168.000000,2.000000
3/24/2020 12:00:00 AM,11485,1535,16,1617,252,4,1426.000000,196.000000,2.000000
3/25/2020 12:00:00 AM,14209,1865,19,2724,330,3,1737.000000,225.000000,2.000000
3/26/2020 12:00:00 AM,16631,2538,26,2422,673,7,1926.000000,302.000000,3.000000
3/27/2020 12:00:00 AM,21542,3026,34,4911,488,8,2465.000000,349.000000,4.000000
3/28/2020 12:00:00 AM,25429,3491,47,3887,465,13,2740.000000,391.000000,6.000000
3/29/2020 12:00:00 AM,27762,4596,65,2333,1105,18,2770.000000,507.000000,8.000000
3/30/2020 12:00:00 AM,30446,5056,72,2684,460,7,2940.000000,539.000000,9.000000
3/31/2020 12:00:00 AM,35225,5994,99,4779,938,27,3391.000000,637.000000,12.000000
4/1/2020 12:00:00 AM,40384,6980,141,5159,986,42,3739.000000,731.000000,17.000000
4/2/2020 12:00:00 AM,43656,7695,157,3272,715,16,3861.000000,737.000000,19.000000
4/3/2020 12:00:00 AM,48048,8904,210,4392,1209,53,3787.000000,840.000000,25.000000
4/4/2020 12:00:00 AM,53581,10357,243,5533,1453,33,4022.000000,981.000000,28.000000
4/5/2020 12:00:00 AM,58983,11256,274,5402,899,31,4460.000000,951.000000,30.000000
4/6/2020 12:00:00 AM,62942,12262,307,3959,1006,33,4642.000000,1029.000000,34.000000
4/7/2020 12:00:00 AM,68732,13549,380,5790,1287,73,4787.000000,1079.000000,40.000000
4/8/2020 12:00:00 AM,75066,15078,462,6334,1529,82,4955.000000,1157.000000,46.000000
4/9/2020 12:00:00 AM,80857,16422,528,5791,1344,66,5314.000000,1247.000000,53.000000
4/10/2020 12:00:00 AM,87527,17887,596,6670,1465,68,5640.000000,1283.000000,55.000000
4/11/2020 12:00:00 AM,92779,19180,677,5252,1293,81,5600.000000,1260.000000,62.000000
4/12/2020 12:00:00 AM,100735,20852,720,7956,1672,43,5965.000000,1371.000000,64.000000
4/13/2020 12:00:00 AM,105768,22025,794,5033,1173,74,6118.000000,1395.000000,70.000000
4/14/2020 12:00:00 AM,110616,23247,868,4848,1222,74,5983.000000,1385.000000,70.000000
4/15/2020 12:00:00 AM,116929,24593,948,6313,1346,80,5980.000000,1359.000000,69.000000
4/16/2020 12:00:00 AM,122589,25733,1072,5660,1140,124,5962.000000,1330.000000,78.000000
4/17/2020 12:00:00 AM,130163,27575,1134,7574,1842,62,6091.000000,1384.000000,77.000000
4/18/2020 12:00:00 AM,137404,29160,1259,7241,1585,125,6375.000000,1426.000000,83.000000
4/19/2020 12:00:00 AM,143318,30357,1290,5914,1197,31,6083.000000,1358.000000,81.000000
4/20/2020 12:00:00 AM,148358,31508,1349,5040,1151,59,6084.000000,1355.000000,79.000000
4/21/2020 12:00:00 AM,154997,33059,1468,6639,1551,119,6340.000000,1402.000000,86.000000
4/22/2020 12:00:00 AM,164346,35108,1565,9349,2049,97,6774.000000,1502.000000,88.000000
4/23/2020 12:00:00 AM,173508,36934,1688,9162,1826,123,7274.000000,1600.000000,88.000000
4/24/2020 12:00:00 AM,189632,39658,1795,16124,2724,107,8496.000000,1726.000000,94.000000
4/25/2020 12:00:00 AM,201617,41777,1874,11985,2119,79,9173.000000,1802.000000,88.000000
4/26/2020 12:00:00 AM,214952,43903,1933,13335,2126,59,10233.000000,1935.000000,92.000000
4/27/2020 12:00:00 AM,227628,45883,1983,12676,1980,50,11324.000000,2054.000000,91.000000
4/28/2020 12:00:00 AM,242189,48102,2125,14561,2219,142,12456.000000,2149.000000,94.000000
4/29/2020 12:00:00 AM,256667,50355,2215,14478,2253,90,13189.000000,2178.000000,93.000000
4/30/2020 12:00:00 AM,269867,52918,2355,13200,2563,140,13766.000000,2283.000000,95.000000
5/1/2020 12:00:00 AM,284688,56055,2457,14821,3137,102,13579.000000,2342.000000,95.000000
5/2/2020 12:00:00 AM,299896,58505,2559,15208,2450,102,14040.000000,2390.000000,98.000000
5/3/2020 12:00:00 AM,319313,61499,2618,19417,2994,59,14909.000000,2514.000000,98.000000
5/4/2020 12:00:00 AM,333147,63840,2662,13834,2341,44,15074.000000,2565.000000,97.000000
5/5/2020 12:00:00 AM,346286,65962,2838,13139,2122,176,14871.000000,2551.000000,102.000000
5/6/2020 12:00:00 AM,361260,68232,2974,14974,2270,136,14942.000000,2554.000000,108.000000
5/7/2020 12:00:00 AM,379043,70873,3111,17783,2641,137,15597.000000,2565.000000,108.000000
5/8/2020 12:00:00 AM,399714,73760,3241,20671,2887,130,16432.000000,2529.000000,112.000000
5/9/2020 12:00:00 AM,416331,76085,3349,16617,2325,108,16634.000000,2511.000000,113.000000
