Census,Week_Start,Week_End,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate
53033000100,3/31/2020,4/14/2020,7,85.82,7,85.82,0,0,105,1287.26,108,1324.04
53033000100,4/15/2020,4/29/2020,2,24.52,2,24.52,0,0,105,1287.26,110,1348.56
53033000200,3/31/2020,4/14/2020,11,129.24,11,129.24,0,0,126,1480.42,129,1515.67
53033000200,4/15/2020,4/29/2020,7,82.25,7,82.25,0,0,117,1374.68,126,1480.42
53033000300,3/31/2020,4/14/2020,1,34.95,1,34.95,0,0,22,768.92,23,803.87
53033000300,4/15/2020,4/29/2020,2,69.9,2,69.9,0,0,23,803.87,28,978.62
53033000401,3/31/2020,4/14/2020,9,136.09,9,136.09,0,0,98,1481.91,105,1587.76
53033000401,4/15/2020,4/29/2020,5,75.61,5,75.61,0,0,83,1255.09,90,1360.94
53033000402,3/31/2020,4/14/2020,9,167.44,9,167.44,0,0,93,1730.17,98,1823.19
53033000402,4/15/2020,4/29/2020,2,37.21,2,37.21,0,0,74,1376.7,76,1413.91
53033000500,3/31/2020,4/14/2020,0,0,0,0,0,0,41,1217.83,43,1277.23
53033000500,4/15/2020,4/29/2020,1,29.7,1,29.7,0,0,43,1277.23,45,1336.64
53033000600,3/31/2020,4/14/2020,11,134.57,11,134.57,0,0,117,1431.33,123,1504.73
53033000600,4/15/2020,4/29/2020,2,24.47,2,24.47,0,0,102,1247.82,106,1296.76
53033000700,3/31/2020,4/14/2020,4,72.6,4,72.6,0,0,66,1197.86,69,1252.31
53033000700,4/15/2020,4/29/2020,3,54.45,3,54.45,0,0,57,1034.52,58,1052.67
53033000800,3/31/2020,4/14/2020,1,36.74,1,36.74,0,0,35,1285.91,36,1322.65
53033000800,4/15/2020,4/29/2020,2,73.48,2,73.48,0,0,26,955.25,28,1028.73
53033000900,3/31/2020,4/14/2020,1,45.6,1,45.6,0,0,28,1276.84,28,1276.84
53033000900,4/15/2020,4/29/2020,0,0,0,0,0,0,28,1276.84,28,1276.84
53033001000,3/31/2020,4/14/2020,1,48.54,1,48.54,0,0,21,1019.43,21,1019.43
53033001000,4/15/2020,4/29/2020,3,145.63,3,145.63,0,0,22,1067.97,22,1067.97
53033001100,3/31/2020,4/14/2020,0,0,0,0,0,0,35,1295.63,35,1295.63
53033001100,4/15/2020,4/29/2020,0,0,0,0,0,0,20,740.36,21,777.38
53033001200,3/31/2020,4/14/2020,10,126.28,10,126.28,0,0,97,1224.88,103,1300.65
