tract,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Hy-Vee,Hy-Vee,Hy-Vee,Hy-Vee,Hy-Vee,Super Saver,Super Saver,Super Saver,Super Saver,Super Saver,Total
31109001200,50,4,4,NA,NA,5,NA,4,48,4,28,4,32,NA,4,4,191
31109003802,35,NA,NA,NA,NA,NA,NA,18,12,4,14,NA,24,NA,NA,NA,107
31109001301,31,NA,NA,NA,NA,NA,NA,9,NA,NA,29,NA,13,NA,NA,NA,82
31109003801,19,NA,NA,NA,NA,4,NA,33,4,NA,14,4,12,NA,NA,4,94
31109000201,16,4,4,4,NA,65,NA,6,16,5,28,11,25,NA,4,NA,188
31109001001,14,NA,NA,NA,NA,14,NA,NA,9,NA,16,6,30,NA,NA,NA,89
31109001400,13,NA,8,NA,NA,4,NA,5,NA,NA,48,4,55,4,NA,NA,141
31109001302,13,4,NA,NA,NA,NA,NA,19,NA,NA,7,NA,5,NA,NA,4,52
31109003717,13,NA,NA,NA,4,9,4,5,54,NA,4,4,19,NA,5,4,125
31109001101,11,NA,NA,NA,NA,36,NA,6,47,6,4,4,15,NA,4,NA,133
31025965900,10,5,NA,NA,NA,4,4,12,14,4,6,NA,9,NA,NA,NA,68
31109010100,10,214,4,NA,NA,29,NA,10,34,22,7,11,14,NA,13,NA,368
31109001102,10,NA,NA,NA,NA,4,NA,NA,30,NA,8,4,12,NA,4,NA,72
31109003718,9,NA,NA,6,NA,NA,4,45,13,NA,NA,NA,NA,NA,NA,4,81
31109010400,9,NA,4,12,NA,NA,13,41,6,4,4,NA,4,4,4,23,128
31109003706,9,NA,4,NA,NA,NA,NA,88,NA,NA,7,NA,5,NA,NA,19,132
31109001003,8,NA,NA,NA,NA,5,NA,5,8,NA,32,NA,25,NA,NA,NA,83
31109003707,6,NA,NA,14,4,4,NA,107,4,NA,NA,NA,NA,NA,4,28,171
31109003714,4,NA,NA,7,NA,NA,14,17,NA,NA,4,NA,NA,4,NA,13,63
31109000100,4,NA,4,NA,NA,66,NA,4,5,4,5,10,10,NA,5,NA,117
31109003104,4,NA,NA,NA,NA,8,NA,4,NA,12,4,31,9,NA,43,4,119
31109003715,4,NA,NA,4,NA,NA,8,4,NA,NA,4,NA,NA,4,NA,6,34
31185969800,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,8
31109001002,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,9,NA,NA,4,30
31109001600,4,NA,NA,5,NA,4,4,NA,4,4,27,4,44,NA,4,4,108
31109003720,4,NA,NA,10,NA,NA,5,24,NA,NA,NA,4,NA,13,NA,7,67
31055007513,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,12
31147968500,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,12
31109002200,4,NA,13,13,18,4,4,4,NA,NA,8,9,15,NA,4,4,100
31109001700,4,NA,NA,8,27,NA,4,5,NA,4,7,7,18,NA,4,NA,88
31109000400,4,4,NA,5,NA,6,NA,NA,NA,6,12,38,24,NA,5,NA,104
17093890102,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109003604,4,NA,30,5,NA,NA,5,NA,NA,NA,NA,NA,NA,6,4,6,60
31155968500,4,4,4,NA,NA,NA,NA,NA,4,5,NA,NA,4,NA,NA,NA,25
29095002000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109000300,4,NA,NA,NA,NA,9,NA,NA,NA,NA,12,17,20,NA,4,NA,66
31109002800,4,NA,4,51,7,NA,7,6,4,NA,NA,4,8,4,4,4,107
31055007432,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109000202,4,4,NA,NA,NA,16,NA,NA,7,5,19,15,29,NA,5,NA,104
31067964600,4,NA,5,4,NA,NA,4,10,NA,NA,4,NA,NA,NA,NA,5,36
31109003401,4,4,113,8,NA,NA,NA,NA,NA,9,4,6,5,NA,5,NA,158
31109002500,4,NA,4,46,NA,NA,7,15,NA,NA,5,NA,13,NA,NA,21,115
31109002002,4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,12,NA,4,4,35
31025965700,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,20
31109002900,4,NA,NA,NA,NA,4,NA,6,4,39,7,23,5,NA,14,NA,106
31109003716,4,NA,NA,9,4,4,19,8,NA,NA,NA,NA,4,11,4,4,71
31025965800,NA,22,NA,NA,NA,4,NA,NA,5,4,NA,4,NA,NA,4,NA,43
31153010631,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109003002,NA,4,NA,NA,NA,NA,NA,NA,NA,9,NA,14,NA,NA,14,NA,41
31119960700,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31131966800,NA,4,NA,5,NA,4,4,19,4,NA,4,4,4,NA,NA,11,63
31109003302,NA,4,16,5,NA,4,4,NA,NA,27,11,5,7,NA,135,4,222
31055006704,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31155968400,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,8
31109003402,NA,NA,143,10,4,4,4,6,NA,7,7,14,9,4,4,4,220
31109010300,NA,NA,33,8,NA,NA,12,4,NA,NA,4,4,4,4,5,5,83
31109002100,NA,NA,16,4,5,NA,4,NA,NA,4,4,5,8,NA,NA,4,54
31109003301,NA,NA,15,4,NA,NA,NA,NA,NA,7,7,8,11,NA,6,NA,58
31159960400,NA,NA,15,11,NA,NA,4,NA,NA,9,10,11,4,NA,11,NA,75
31109003202,NA,NA,11,NA,NA,NA,4,NA,NA,10,NA,4,8,NA,83,NA,120
31109010202,NA,NA,11,4,NA,NA,NA,4,4,29,7,7,4,NA,165,NA,235
31067964700,NA,NA,7,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,16
31109002300,NA,NA,6,17,31,NA,NA,13,4,NA,10,6,12,4,NA,NA,103
31109003102,NA,NA,6,8,NA,7,4,NA,NA,33,11,10,12,NA,207,NA,298
26163579100,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
31155968200,NA,NA,5,4,NA,11,NA,NA,4,16,4,10,4,NA,38,NA,96
31109003719,NA,NA,4,7,NA,NA,NA,82,NA,NA,4,NA,4,NA,4,14,119
31121966700,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31109003709,NA,NA,4,18,NA,NA,26,8,NA,NA,NA,NA,NA,5,4,21,86
31109003003,NA,NA,4,4,NA,6,NA,NA,NA,21,5,57,15,NA,8,NA,120
31025966000,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31159960100,NA,NA,4,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,68,NA,82
31109003713,NA,NA,4,NA,NA,NA,4,20,7,NA,NA,NA,NA,4,NA,9,48
31067964800,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,12
31109000800,NA,NA,4,NA,NA,NA,NA,NA,NA,4,19,14,49,NA,NA,NA,90
