location_name,Hy-Vee,ALDI,ALDI,Hy-Vee,Woodman's Market,Trader Joe's,Pick 'n Save,Woodman's Market,Pick 'n Save,ALDI,ALDI,Pick 'n Save,Woodman's Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Pick 'n Save,ALDI,Whole Foods Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Hy-Vee,Pick 'n Save,Pick 'n Save,Total
55025002603,11,NA,NA,NA,48,NA,NA,4,NA,NA,NA,NA,30,NA,NA,NA,NA,10,NA,NA,NA,5,NA,NA,NA,108
55025002700,8,NA,NA,NA,34,NA,NA,4,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,61
55025011503,7,17,NA,NA,4,4,NA,4,184,NA,NA,4,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,416
55025013200,7,10,4,5,13,NA,26,12,87,NA,NA,4,122,4,9,4,NA,4,4,NA,4,4,4,8,4,339
55025013302,7,NA,NA,NA,4,NA,35,NA,14,NA,NA,NA,59,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,135
55025002602,7,4,NA,NA,37,NA,NA,NA,5,NA,NA,NA,53,NA,4,NA,4,15,NA,NA,NA,NA,NA,4,NA,133
55025011402,5,26,NA,4,16,NA,NA,5,140,NA,NA,4,182,NA,NA,NA,4,6,5,NA,NA,9,NA,NA,16,422
55025012002,5,NA,9,NA,17,NA,NA,NA,4,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,34,7,25,NA,NA,NA,118
55021970200,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,18,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,41
55025011000,4,NA,NA,NA,NA,NA,NA,15,NA,4,NA,NA,NA,NA,27,6,NA,NA,NA,NA,NA,NA,NA,9,NA,65
55025011700,4,6,NA,NA,8,NA,NA,4,34,NA,NA,NA,52,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,39,159
55025003002,4,NA,NA,NA,64,NA,NA,5,NA,NA,NA,4,5,NA,NA,NA,NA,4,NA,NA,NA,6,4,NA,NA,96
55025011200,4,NA,NA,NA,12,4,NA,10,24,7,NA,NA,57,NA,43,4,NA,4,10,NA,NA,4,9,14,5,211
55025012001,4,8,NA,4,56,NA,NA,4,5,NA,NA,4,111,NA,NA,NA,NA,NA,4,NA,4,8,NA,NA,22,234
55025003100,4,NA,4,NA,65,NA,NA,NA,4,NA,NA,NA,13,4,NA,NA,NA,4,NA,4,4,24,NA,NA,NA,130
55025002000,4,NA,NA,NA,36,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,48
55025010400,4,NA,NA,4,24,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,89
55025012501,4,NA,22,30,14,NA,NA,28,NA,NA,NA,4,7,NA,4,4,4,NA,NA,19,NA,7,4,4,NA,155
55025001802,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,13
55049950500,4,NA,NA,4,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,28
55025002301,4,5,NA,NA,28,NA,NA,6,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,55
55025011302,4,NA,4,NA,5,NA,NA,4,6,NA,NA,NA,13,NA,16,NA,NA,4,NA,NA,NA,NA,NA,4,NA,60
55025001502,4,NA,NA,5,17,NA,NA,23,NA,NA,NA,8,NA,NA,NA,NA,11,4,5,NA,NA,26,4,NA,NA,107
55025013000,4,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,4,4,19,NA,77
55025011301,4,4,NA,4,4,NA,NA,14,21,4,NA,NA,49,NA,19,4,NA,4,NA,NA,NA,4,4,NA,NA,139
55025003001,4,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,76
55055100602,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,14
55025013301,4,5,NA,NA,4,NA,32,NA,22,NA,NA,NA,61,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,140
55025002100,4,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,56
55021971000,4,NA,NA,NA,4,NA,NA,NA,9,NA,NA,NA,18,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,43
55025011504,NA,12,NA,NA,6,4,NA,NA,70,NA,NA,NA,67,NA,NA,NA,NA,4,4,NA,NA,4,5,NA,9,185
55025011600,NA,12,NA,NA,4,NA,NA,4,24,4,NA,NA,76,NA,4,4,NA,NA,4,4,NA,4,NA,NA,186,330
55025011506,NA,10,NA,4,6,NA,NA,4,31,NA,NA,4,81,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,31,179
55025011800,NA,9,4,NA,7,NA,NA,NA,15,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,82,176
55021971200,NA,7,NA,NA,4,NA,NA,NA,15,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
55025011505,NA,6,NA,NA,4,NA,NA,5,24,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,42,133
55025011401,NA,5,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,4,138
55027961800,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29
55025011900,NA,4,NA,4,17,NA,NA,5,4,NA,NA,NA,35,NA,NA,NA,NA,4,NA,6,NA,13,NA,NA,5,97
