year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2020,4,1,ALL,"",41847550,18471749,23153079,15790913
2020,4,1,ALL_CA,CA,702231,536091,702231,536091
2020,4,1,ALL_US,US,41145319,17935936,22450848,15254822
2020,4,1,ab,CA,89966,70298,89966,70298
2020,4,1,ak,US,55405,27505,30611,22964
2020,4,1,al,US,1088283,411108,580908,361134
2020,4,1,ar,US,592370,228105,313041,194595
2020,4,1,as,US,31,25,26,24
2020,4,1,az,US,813118,351858,418420,296930
2020,4,1,bc,CA,82689,64442,82689,64442
2020,4,1,ca,US,3441782,1538081,1765563,1279057
2020,4,1,co,US,616483,284733,329803,233077
2020,4,1,ct,US,335149,160565,192558,131922
2020,4,1,dc,US,35685,20180,0,0
2020,4,1,de,US,107318,50128,59452,40906
2020,4,1,fl,US,3224059,1305259,1649101,1097880
2020,4,1,ga,US,1823779,711774,943669,606582
2020,4,1,gu,US,608,396,442,348
2020,4,1,hi,US,152450,62863,72823,53214
2020,4,1,ia,US,532468,230650,299908,193347
2020,4,1,id,US,187126,84765,103060,70827
2020,4,1,il,US,1597206,736616,890789,610202
2020,4,1,in,US,886898,409269,509761,343311
2020,4,1,ks,US,468897,203533,265838,172352
2020,4,1,ky,US,627561,272409,349855,228685
2020,4,1,la,US,752394,309435,415181,267680
2020,4,1,ma,US,547300,278766,307329,218708
2020,4,1,mb,CA,30239,22119,30239,22119
2020,4,1,md,US,592806,296753,334926,242404
2020,4,1,me,US,115724,52531,67854,45075
2020,4,1,mi,US,1068967,544793,667300,471360
2020,4,1,mn,US,654714,319028,381991,265295
2020,4,1,mo,US,1008063,422782,549259,357859
2020,4,1,mp,US,163,127,163,127
2020,4,1,ms,US,589761,222062,311704,192343
2020,4,1,mt,US,94941,44942,53668,37331
2020,4,1,nb,CA,10349,7948,10349,7948
2020,4,1,nc,US,1425100,608737,804999,528814
2020,4,1,nd,US,100436,47561,57092,38648
2020,4,1,ne,US,342292,138334,182080,113871
2020,4,1,nh,US,135435,66287,79105,54103
2020,4,1,nj,US,938046,471712,561645,398497
2020,4,1,nl,CA,7349,5683,7349,5683
2020,4,1,nm,US,199242,91344,105169,72024
2020,4,1,ns,CA,13849,10791,13849,10791
2020,4,1,nt,CA,612,478,612,478
