year,month,region,num_visits,num_unique_visitors
2020,4,ALL,516688551,32252657
2020,4,ALL_US,516688551,32252657
2020,4,ak,703539,50777
2020,4,al,14038818,722498
2020,4,ar,7815539,444851
2020,4,as,173,47
2020,4,az,11573580,695040
2020,4,ca,45297761,3156658
2020,4,co,7865968,596262
2020,4,ct,3751372,340355
2020,4,dc,801490,135687
2020,4,de,1304590,110305
2020,4,fl,39402636,2379943
2020,4,ga,23307831,1362164
2020,4,gu,5309,767
2020,4,hi,2172612,112377
2020,4,ia,6351208,457825
2020,4,id,2496399,183422
2020,4,il,19479560,1567539
2020,4,in,11249175,875973
2020,4,ks,5661797,396650
2020,4,ky,8182078,611007
2020,4,la,9718416,572581
2020,4,ma,6239179,643712
2020,4,md,7530339,686337
2020,4,me,1213293,94647
2020,4,mi,11362092,988496
2020,4,mn,7596216,636449
2020,4,mo,12721906,840345
2020,4,mp,3,3
2020,4,ms,7301878,421284
2020,4,mt,1289895,95651
2020,4,nc,18920191,1123084
2020,4,nd,1203059,95230
2020,4,ne,4151506,295148
2020,4,nh,1572965,144585
2020,4,nj,10248884,950160
2020,4,nm,2488636,228244
2020,4,nv,4716090,322985
2020,4,ny,20551658,1935601
2020,4,oh,19045665,1421811
2020,4,ok,9825738,561237
2020,4,or,5801034,413754
2020,4,pa,15049397,1340890
2020,4,pr,676625,115703
2020,4,ri,1098753,106745
2020,4,sc,10906981,633393
2020,4,sd,1400995,112017
2020,4,tn,14608034,893722
2020,4,tx,59879023,3499650
2020,4,ut,4911128,338957
2020,4,va,12553755,945073
2020,4,vi,3050,748
2020,4,vt,434422,45119
2020,4,wa,9021954,670134
2020,4,wi,7753036,634772
2020,4,wv,2580024,212122
2020,4,wy,851296,84399
